academic underachievement,acculturation multicultural issues,addiction,adhd,adjustment coping and illness,adoption,alcohol abuse,alzheimers,anger management,anxiety,aspergers syndrome,attachment therapy early intervention,autism,bachelor amp husband challenges,behavioral issues,bipolar disorder,bisexual,borderline personality,career counseling,career transition,child or adolescent,chronic impulsivity,chronic pain,chronic relapse,co dependency group therapy,co dependency retirement transitio,codependency,coping skills,couple and family therapy,depression,developmental disorders,dissociative disorders,divorce,domestic abuse,domestic violence,drug abuse,dual diagnosis,early childhood trauma,eating disorders,elderly persons disorders,emdr,emotional disturbance,executive coaching,executive coaching couples counseling,family conflict,forgiveness,forgiveness practice,gay,grief,impulse control disorders,infertility,infidelity,internet addiction,istdp,launching young adults into adult,learning disabilities,lesbian,life coaching,life transitions,marital and premarital,maximize medical treatmt conditions,medication management,mens issues,mindfulness,mood disorders,obesity,obsessive compulsive ocd,occupational issues,oppositional defiance,panic disorder and phobias,parenting,peer relationships,personality disorders,post partum depression,postpartum adjustment,psychosis,relational psychoanalysis,relationship issues,self esteem,sex therapy,sexual abuse,sexual addiction,singleness issues in dating,sleep depression intense emotions,sleep or insomnia,spirituality,substance abuse,suicidal ideation,teen violence,testing and evaluation,trauma and ptsd,trauma recovery emdr cognitive beh,traumatic brain injury,weight loss,women in transition,womens health care,womens issues,work health and relationship stres,work stress
a,397,2588,471,527,17759,102,168,264,790,92,508,394,799,1046,280,314,445,639,403,494,392,1321,213,194,186,444,316,415,246,609,278,338,492,978,849,376,402,163,542,4382,437,67,275,130,254,282,99,283,520,372,219,1526,958,516,222,249,931,205,108,180,160,67,371,599,313,117,156,223,216,154,372,93,946,157,358,532,682,237,522,235,591,245,436,263,44,482,844,259,227,150,145,417,645,158,85,180,241,227,124
aa,0,13,1,0,115,0,2,0,1,0,1,4,0,8,2,0,0,1,2,3,0,0,2,13,0,2,3,2,0,5,0,0,0,0,0,2,1,2,2,20,0,1,0,0,0,0,0,2,0,2,0,0,0,12,0,3,1,0,0,0,0,1,4,2,1,0,0,4,0,0,3,0,1,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
aaa,0,0,0,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaron,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ab,1,5,3,1,113,0,0,0,2,1,1,0,1,3,0,0,0,1,0,3,0,0,2,0,0,1,0,2,0,1,0,4,1,1,0,0,0,0,2,17,0,0,0,0,3,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,45,0,0,2,0,0
abandon,0,12,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,5,0,0,1,2,0,3,0,0,0,0,0,2,1,2,1,4,0,0,0,0,0,1,0,0,1,3,0,2,0,0,10,0,8,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0
abc,0,0,0,0,1,0,0,0,1,0,0,3,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,5,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0,0,0
abil,36,8,19,6,2,2,4,13,4,1,20,5,17,3,4,6,1,6,0,2,0,37,7,3,3,2,9,2,3,9,6,2,2,13,12,5,3,14,5,4,0,2,9,2,2,3,0,0,11,3,2,6,12,2,2,12,1,0,3,0,0,2,6,4,3,0,0,1,1,1,2,4,6,8,5,0,0,0,12,2,4,1,1,0,0,3,4,1,0,8,1,3,20,0,1,0,1,9,0
abl,14,12,4,2,1,0,2,6,6,0,6,5,10,2,3,3,3,2,2,3,0,8,4,8,3,2,3,9,0,4,7,2,8,8,5,1,11,6,0,2,12,0,2,6,7,9,5,1,11,1,5,22,5,18,4,4,7,4,3,2,4,1,7,1,3,0,1,3,0,4,4,2,4,0,6,1,2,7,16,1,8,0,3,5,1,1,1,2,4,4,3,8,7,0,0,5,0,2,4
aborigin,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
abort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,3,1,0,9,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,16,33,0,0
about,78,50,26,91,12,70,25,89,20,23,39,54,102,70,59,63,44,85,55,64,36,47,25,26,22,16,42,67,54,92,35,43,38,65,54,34,75,33,75,35,44,8,46,32,72,33,27,30,58,52,62,104,55,76,48,36,107,27,21,48,23,19,52,29,54,46,42,53,22,32,55,22,80,25,53,45,40,74,66,51,73,23,97,55,9,56,121,45,56,23,48,59,63,13,23,44,74,63,21
abov,6,0,5,1,0,0,0,0,2,0,3,2,7,1,1,2,0,5,1,10,0,0,1,0,0,0,2,2,1,0,1,5,3,1,1,2,0,0,0,0,0,1,1,2,0,4,4,1,2,2,0,5,0,6,0,2,0,1,1,2,0,1,2,1,1,1,2,3,1,0,2,1,5,0,2,1,0,2,0,1,2,1,3,2,0,1,10,1,0,1,0,3,3,0,0,0,1,0,0
abraham,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
absenc,0,0,1,2,1,0,0,0,0,0,0,6,0,1,1,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,5,1,3,3,0,2,4,9,0,0,1,0,0,2,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,4,7,0,0,0,0,2,2,0,2,0,0,15,0,0,0,0,0,3,0,0,0,1,4,0
absent,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
absolut,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,11,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,3,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
absorpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract,4,7,0,1,16,0,0,0,0,1,0,56,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,6,2,5,0,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,6,0,2,0,5,1,7,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0
abu,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
abus,1,0,98,12,1,0,141,0,14,1,3,23,2,1,5,8,3,60,0,0,15,85,7,10,7,2,47,6,5,13,10,32,18,597,455,391,115,64,28,2,0,3,1,0,11,3,2,7,9,39,0,0,8,1,7,1,6,0,0,0,1,0,22,3,17,0,3,1,4,3,3,3,52,1,2,16,0,6,48,0,676,22,36,0,0,2,784,17,36,0,8,15,9,0,22,0,9,1,0
ac,0,6,6,3,112,0,0,0,0,0,1,9,2,8,0,1,0,0,2,3,0,0,1,0,0,46,0,4,0,4,0,0,0,1,1,2,0,2,1,24,5,0,0,0,0,0,1,1,23,4,0,3,4,0,0,3,1,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,5,0,0,1,0,1,4,0,0,0,2,0,0
academ,128,4,0,14,0,0,1,1,0,0,0,2,4,2,8,0,5,1,8,0,15,0,0,0,0,11,3,2,11,0,9,0,14,0,0,0,0,2,1,0,0,5,14,0,2,0,0,3,0,2,2,11,13,0,3,2,6,1,0,0,0,0,2,11,0,0,0,3,3,0,8,6,1,0,0,2,1,0,14,0,0,3,0,1,0,4,0,0,1,6,1,2,4,0,0,4,0,0,0
