academic underachievement,acculturation multicultural issues,addiction,adhd,adjustment coping and illness,adoption,alcohol abuse,alzheimers,anger management,anxiety,aspergers syndrome,attachment therapy early intervention,autism,bachelor amp husband challenges,behavioral issues,bipolar disorder,bisexual,borderline personality,career counseling,career transition,child or adolescent,chronic impulsivity,chronic pain,chronic relapse,co dependency group therapy,co dependency retirement transitio,codependency,coping skills,couple and family therapy,depression,developmental disorders,dissociative disorders,divorce,domestic abuse,domestic violence,drug abuse,dual diagnosis,early childhood trauma,eating disorders,elderly persons disorders,emdr,emotional disturbance,executive coaching,executive coaching couples counseling,family conflict,forgiveness,forgiveness practice,gay,grief,impulse control disorders,infertility,infidelity,internet addiction,istdp,launching young adults into adult,learning disabilities,lesbian,life coaching,life transitions,marital and premarital,maximize medical treatmt conditions,medication management,mens issues,mindfulness,mood disorders,obesity,obsessive compulsive ocd,occupational issues,oppositional defiance,panic disorder and phobias,parenting,peer relationships,personality disorders,post partum depression,postpartum adjustment,psychosis,relational psychoanalysis,relationship issues,self esteem,sex therapy,sexual abuse,sexual addiction,singleness issues in dating,sleep depression intense emotions,sleep or insomnia,spirituality,substance abuse,suicidal ideation,teen violence,testing and evaluation,trauma and ptsd,trauma recovery emdr cognitive beh,traumatic brain injury,weight loss,women in transition,womens health care,womens issues,work health and relationship stres,work stress
aa,0,13,1,0,115,0,3,3,1,0,1,1,0,6,2,0,0,1,0,3,0,0,1,13,1,3,3,2,0,2,0,0,0,0,0,2,1,2,1,20,0,1,0,0,0,0,0,1,0,2,0,0,6,12,0,2,1,0,0,0,0,1,0,4,0,1,0,2,0,0,3,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
aaa,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaron,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ab,1,5,3,1,113,0,0,1,2,1,1,0,1,11,0,0,0,1,0,2,0,0,1,0,0,3,0,1,0,2,0,4,1,1,0,2,0,0,0,17,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,2,14,0,2,0,0,1
abandon,0,12,1,0,0,0,0,0,0,1,0,2,0,1,0,0,1,16,0,0,5,0,0,1,2,0,3,3,0,0,0,0,0,2,3,0,4,0,0,0,1,0,1,0,0,1,3,0,2,0,0,10,0,8,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0
abc,0,0,0,0,1,0,0,0,1,0,0,3,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,5,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
aberdeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abil,34,8,19,7,2,2,3,16,4,1,20,5,17,3,4,6,1,6,2,1,0,37,4,3,2,2,9,19,3,6,6,2,0,13,13,5,3,14,0,4,2,2,9,2,2,8,0,0,11,3,0,6,12,2,2,12,1,0,3,0,5,2,2,7,4,0,0,1,1,1,2,4,7,8,5,0,0,0,12,2,4,1,2,0,1,1,4,1,0,7,1,2,24,0,1,0,1,9,2
aborigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
abort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0
abraham,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
absenc,0,0,1,1,1,0,0,1,0,0,0,6,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,3,3,0,4,0,9,0,0,1,0,0,2,0,0,3,0,0,0,4,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,2,0,4,7,0,0,0,0,2,2,0,2,0,0,15,0,0,0,0,0,3,0,0,0,1,4,1
